Category,Total Count
Code Structure/Design Issues,1241
Logic Issues,584
Communication/Collaboration Issues,851
Architectural Issues,2
Slow Response,651
Documentation Issues,95
Testing/Validation Issues,750
Other,73
Approval Process Issues,1
Architecture/Design Discussions,2
Backward Compatibility,1
Typing Issues,1
Bug-Related,51
Breaking Change Concerns,1
Translation/Localization Issues,5
Documentation/Clarity Issues,1
Code Style/Formatting Issues,1
Dependency Management,33
Time Zone Handling Issues,1
Feature Request,16
Dependency Issues,17
Feature Limitation,2
Compatibility Issues,3
Versioning/Release Issues,1
Regression Issues,1
User Experience,3
Device Communication Issues,1
Feature Limitations,2
Performance Issues,8
Process/Workflow Issues,1
Development Environment Issues,2
Deprecation Handling,1
Git/GitHub Issues,1
New Contributor Challenges,1
Repository Structure Changes,1
Security Concerns,4
Knowledge Gaps,1
Merge Conflicts,15
Code Efficiency,1
Async/Await Issues,2
Feature Support Issues,1
Formatting Issues,2
Duplicate PRs,1
Device Compatibility,1
Architecture Decision,1
Versioning Issues,2
Feature Request Limitations,1
Configuration Flow Requirement,1
Configuration Issues,3
Naming Issues,1
Device State Management,1
Specification Compliance Issues,2
Device-Specific Issues,2
Documentation Update Required,1
CI/CD Issues,5
Code Style/Conventions,1
Deprecation/Breaking Changes,2
Versioning/Dependency Management,1
Development Environment Setup,1
Frontend/Backend Synchronization,1
Feature Request/Enhancement,5
Specification/Documentation Issues,1
Logging Issues,1
Documentation/Process Issues,2
Unit of Measurement Issues,1
Code Quality Issues,1
Performance Optimization,1
Codeowner Issues,1
CLA Issues,5
Documentation Updates,1
Documentation,1
Breaking Change,1
Code Consistency,1
Device Compatibility Issues,1
Documentation/CLA Issues,7
Administrative,1
Breaking Changes,5
Security Issues,1
Contribution Process Issues,1
Type Hinting Issues,1
Naming/Terminology Issues,2
Documentation/Comments Issues,1
Type Issues,1
Dependency Management Issues,2
Documentation/Guidelines Issues,2
Configuration/Options Issues,1
Async/Synchronous Handling,1
Ownership/Responsibility Issues,1
API Usage Issues,1
Compatibility Concerns,1
Error Handling,2
User Feedback,1
Configuration Flow Issues,1
Documentation/Usability Issues,1
Code Quality,1
Feature Requests/Discussions,1
User Experience Issues,2
Feature Request Denied,1
Configuration Management,1
Architectural Discussion Required,1
New Contributor Guidance,1
API Limitations,4
Code Review/Feedback,1
Translation/Internationalization Issues,1
Human Error,1
Environment Setup Issues,1
Feature Requests,1
Code Review Changes,1
User Configuration Issues,1
Naming/Entity Issues,1
Collaboration/Assistance Needed,1
Configuration Challenges,1
Integration Design,1
Configuration/Setup Issues,1
Labeling Issues,1
