PR Number,Category
100233,Code Structure/Design Issues
100372,Code Structure/Design Issues
100372,Logic Issues
100372,Communication/Collaboration Issues
100418,Architectural Issues
100418,Code Structure/Design Issues
100418,Communication/Collaboration Issues
100418,Slow Response
100621,Slow Response
100621,Documentation Issues
100621,Code Structure/Design Issues
100621,Logic Issues
100684,Code Structure/Design Issues
100684,Logic Issues
100684,Testing/Validation Issues
100684,Communication/Collaboration Issues
100684,Other
100704,Testing/Validation Issues
100704,Code Structure/Design Issues
100704,Logic Issues
100745,Slow Response
100745,Code Structure/Design Issues
100764,Testing/Validation Issues
100764,Code Structure/Design Issues
100764,Communication/Collaboration Issues
100764,Slow Response
100780,Code Structure/Design Issues
100780,Logic Issues
100780,Slow Response
100804,Communication/Collaboration Issues
100806,Slow Response
100807,Code Structure/Design Issues
100807,Logic Issues
100807,Testing/Validation Issues
100807,Communication/Collaboration Issues
100822,Approval Process Issues
100822,Testing/Validation Issues
100822,Slow Response
100822,Communication/Collaboration Issues
100822,Code Structure/Design Issues
100830,Code Structure/Design Issues
100830,Logic Issues
100830,Communication/Collaboration Issues
100858,Logic Issues
100858,Code Structure/Design Issues
100858,Testing/Validation Issues
100928,Code Structure/Design Issues
100928,Testing/Validation Issues
100928,Communication/Collaboration Issues
100928,Slow Response
101012,Slow Response
101012,Code Structure/Design Issues
101078,Slow Response
101078,Testing/Validation Issues
101078,Code Structure/Design Issues
101090,Slow Response
101090,Testing/Validation Issues
101090,Code Structure/Design Issues
101146,Code Structure/Design Issues
101146,Slow Response
101190,Code Structure/Design Issues
101190,Logic Issues
101190,Testing/Validation Issues
101190,Communication/Collaboration Issues
101190,Slow Response
101201,Testing/Validation Issues
101201,Logic Issues
101250,Code Structure/Design Issues
101250,Slow Response
101370,Code Structure/Design Issues
101374,Slow Response
101374,Communication/Collaboration Issues
101374,Code Structure/Design Issues
101374,Testing/Validation Issues
101497,Code Structure/Design Issues
101497,Logic Issues
101497,Testing/Validation Issues
101497,Communication/Collaboration Issues
101497,Slow Response
101641,Code Structure/Design Issues
101641,Communication/Collaboration Issues
101641,Logic Issues
101641,Slow Response
101673,Architecture/Design Discussions
101673,Backward Compatibility
101673,Testing/Validation Issues
101673,Code Structure/Design Issues
101673,Logic Issues
101673,Communication/Collaboration Issues
101709,Code Structure/Design Issues
101709,Logic Issues
101709,Testing/Validation Issues
101709,Communication/Collaboration Issues
101709,Slow Response
101737,Logic Issues
101737,Slow Response
101985,Communication/Collaboration Issues
101985,Code Structure/Design Issues
101985,Slow Response
102092,Typing Issues
102092,Code Structure/Design Issues
102092,Testing/Validation Issues
102092,Bug-Related
102092,Slow Response
102157,Breaking Change Concerns
102157,Translation/Localization Issues
102157,Documentation/Clarity Issues
102157,Logic Issues
102157,Communication/Collaboration Issues
102159,Code Style/Formatting Issues
102159,Code Structure/Design Issues
102159,Testing/Validation Issues
102159,Communication/Collaboration Issues
102183,Code Structure/Design Issues
102183,Logic Issues
102183,Testing/Validation Issues
102183,Communication/Collaboration Issues
102333,Testing/Validation Issues
102333,Code Structure/Design Issues
102333,Communication/Collaboration Issues
102333,Slow Response
102470,Code Structure/Design Issues
102470,Logic Issues
102470,Testing/Validation Issues
102470,Communication/Collaboration Issues
102470,Other
102613,Code Structure/Design Issues
102613,Logic Issues
102616,Code Structure/Design Issues
102616,Logic Issues
102616,Testing/Validation Issues
102616,Communication/Collaboration Issues
102616,Slow Response
102635,Code Structure/Design Issues
102635,Testing/Validation Issues
102635,Logic Issues
102635,Communication/Collaboration Issues
