PR Number,Title,Created At,Updated At,State,Files Changed,Total Comments,Decision Time,URL,Type of Change,LOC Changed,Closed Date
127798,Use device name for matter entities,2024-10-07 10:07:06+00:00,2024-10-30 10:02:40+00:00,merged,24,8,21,https://github.com/home-assistant/core/pull/127798,New feature (which adds functionality to an existing integration),687,2024-10-29T09:54:25Z
127277,Add switcher s12 support,2024-10-02 09:54:09+00:00,2024-10-29 19:03:53+00:00,merged,7,33,26,https://github.com/home-assistant/core/pull/127277,New feature (which adds functionality to an existing integration),304,2024-10-28T15:57:25Z
126145,Home connect number platform with temperature set points entities,2024-09-17 18:34:44+00:00,2024-10-27 13:05:13+00:00,merged,6,17,38,https://github.com/home-assistant/core/pull/126145,New feature (which adds functionality to an existing integration),359,2024-10-26T12:04:52Z
125835,Add config flow to local_file,2024-09-12 14:34:39+00:00,2024-10-28 02:20:33+00:00,merged,9,9,39,https://github.com/home-assistant/core/pull/125835,New feature (which adds functionality to an existing integration),964,2024-10-21T17:04:43Z
125243,Add support for room sensors in ViCare integration,2024-09-04 17:41:57+00:00,2024-10-01 13:09:08+00:00,merged,8,12,25,https://github.com/home-assistant/core/pull/125243,New feature (which adds functionality to an existing integration),462,2024-09-30T12:32:04Z
124410,Add go2rtc and extend camera integration for better WebRTC support,2024-08-22 11:30:29+00:00,2024-10-04 08:02:39+00:00,merged,35,32,41,https://github.com/home-assistant/core/pull/124410,New integration (thank you!),1701,2024-10-03T07:20:03Z
124373,Add conversation agent to Wyoming,2024-08-21 20:07:52+00:00,2024-10-28 02:20:31+00:00,merged,6,18,55,https://github.com/home-assistant/core/pull/124373,New feature (which adds functionality to an existing integration),554,2024-10-16T14:07:56Z
124176,Add new integration for WMS WebControl pro using local API,2024-08-18 19:09:32+00:00,2024-09-17 15:02:02+00:00,merged,22,123,28,https://github.com/home-assistant/core/pull/124176,New integration (thank you!),1194,2024-09-16T14:07:43Z
123578,Add Switcher Runner S11 support,2024-08-11 09:58:46+00:00,2024-09-21 21:01:40+00:00,merged,10,71,40,https://github.com/home-assistant/core/pull/123578,New feature (which adds functionality to an existing integration),509,2024-09-20T20:19:57Z
123493,Add service to 17track to archive package,2024-08-09 20:35:39+00:00,2024-09-05 21:01:47+00:00,merged,8,14,25,https://github.com/home-assistant/core/pull/123493,New feature (which adds functionality to an existing integration),356,2024-09-04T19:56:12Z
123205,Add inverter-devices to solarlog,2024-08-05 18:35:53+00:00,2024-08-31 16:01:49+00:00,merged,8,41,24,https://github.com/home-assistant/core/pull/123205,New feature (which adds functionality to an existing integration),338,2024-08-30T15:03:24Z
123169,Add climate platform to Tesla Fleet,2024-08-05 06:35:28+00:00,2024-09-05 13:05:27+00:00,merged,11,64,29,https://github.com/home-assistant/core/pull/123169,New feature (which adds functionality to an existing integration),1421,2024-09-03T12:38:47Z
123057,Add weheat core integration,2024-08-02 09:29:34+00:00,2024-09-09 09:57:44+00:00,merged,21,82,35,https://github.com/home-assistant/core/pull/123057,New integration (thank you!),632,2024-09-06T09:58:02Z
123031,Add firmware update entity to IronOS integration,2024-08-01 18:12:45+00:00,2024-10-22 18:02:31+00:00,merged,12,13,80,https://github.com/home-assistant/core/pull/123031,New feature (which adds functionality to an existing integration),336,2024-10-21T17:20:23Z
123020,Add Bang & Olufsen media_player grouping,2024-08-01 12:52:11+00:00,2024-09-23 11:01:54+00:00,merged,9,52,45,https://github.com/home-assistant/core/pull/123020,New feature (which adds functionality to an existing integration),471,2024-09-16T10:16:15Z
122868,Yellow firmware selection options flow,2024-07-30 17:33:05+00:00,2024-08-28 22:01:45+00:00,merged,6,10,28,https://github.com/home-assistant/core/pull/122868,New feature (which adds functionality to an existing integration),856,2024-08-27T21:14:41Z
122473,Add Squeezebox server service binary sensors,2024-07-23 15:22:49+00:00,2024-09-08 18:02:01+00:00,merged,11,65,43,https://github.com/home-assistant/core/pull/122473,New feature (which adds functionality to an existing integration),344,2024-09-05T14:49:07Z
122322,Add button platform to MadVR,2024-07-21 16:08:42+00:00,2024-10-05 02:25:22+00:00,closed,7,14,74,https://github.com/home-assistant/core/pull/122322,New feature (which adds functionality to an existing integration),1868,2024-10-04T01:11:05Z
122148,Add Anglian Water integration,2024-07-18 22:54:11+00:00,2024-10-15 20:01:57+00:00,closed,17,70,87,https://github.com/home-assistant/core/pull/122148,New integration (thank you!),466,2024-10-14T11:05:27Z
121599,Add Fluss integration,2024-07-09 11:45:17+00:00,2024-09-24 00:07:41+00:00,closed,14,16,75,https://github.com/home-assistant/core/pull/121599,New integration (thank you!),449,2024-09-22T23:05:32Z
121502,Setup Google Cloud from the UI,2024-07-08 09:18:08+00:00,2024-09-03 12:03:38+00:00,merged,14,29,56,https://github.com/home-assistant/core/pull/121502,New feature (which adds functionality to an existing integration),734,2024-09-02T11:30:18Z
121488,Add Iskra integration,2024-07-08 06:20:54+00:00,2024-09-23 10:16:49+00:00,merged,17,170,58,https://github.com/home-assistant/core/pull/121488,New integration (thank you!),1177,2024-09-04T13:33:24Z
121378,Add sensor platform to laundrify integration,2024-07-06 14:59:30+00:00,2024-09-17 16:01:58+00:00,merged,10,82,71,https://github.com/home-assistant/core/pull/121378,New feature (which adds functionality to an existing integration),456,2024-09-16T14:21:16Z
121268,Add TRIGGERcmd integration,2024-07-05 00:15:59+00:00,2024-09-12 18:08:28+00:00,merged,14,143,68,https://github.com/home-assistant/core/pull/121268,New integration (thank you!),424,2024-09-11T13:49:38Z
121132,Add Deako integration,2024-07-03 23:06:20+00:00,2024-08-29 18:02:22+00:00,merged,20,63,55,https://github.com/home-assistant/core/pull/121132,New integration (thank you!),817,2024-08-28T17:16:05Z
121090,Add translations for google assistant,2024-07-03 17:19:45+00:00,2024-09-24 00:07:40+00:00,closed,13,7,81,https://github.com/home-assistant/core/pull/121090,New feature (which adds functionality to an existing integration),568,2024-09-22T23:05:34Z
120854,Add Google Cloud Speech-to-Text (STT),2024-06-30 08:44:05+00:00,2024-09-24 04:34:36+00:00,merged,9,9,65,https://github.com/home-assistant/core/pull/120854,New feature (which adds functionality to an existing integration),349,2024-09-03T13:23:07Z
120802,Integration for IronOS (Pinecil V2) soldering irons,2024-06-29 03:39:52+00:00,2024-07-30 10:01:59+00:00,merged,20,26,30,https://github.com/home-assistant/core/pull/120802,New integration (thank you!),1581,2024-07-29T09:44:01Z
120748,Add Wallbox charging schedules functionality,2024-06-28 11:36:57+00:00,2024-09-18 18:02:05+00:00,closed,8,36,81,https://github.com/home-assistant/core/pull/120748,New feature (which adds functionality to an existing integration),439,2024-09-17T17:05:05Z
120304,Add Matter update entities for devices with OTA requestor,2024-06-24 10:34:31+00:00,2024-07-25 06:47:02+00:00,merged,10,20,29,https://github.com/home-assistant/core/pull/120304,New feature (which adds functionality to an existing integration),422,2024-07-23T13:25:02Z
120269,Add options flow to File,2024-06-23 21:31:50+00:00,2024-08-16 17:01:54+00:00,merged,9,13,52,https://github.com/home-assistant/core/pull/120269,New feature (which adds functionality to an existing integration),345,2024-08-15T16:21:08Z
120087,Add IoTMeter integration,2024-06-21 11:26:20+00:00,2024-10-28 16:02:17+00:00,closed,15,29,128,https://github.com/home-assistant/core/pull/120087,New integration (thank you!),853,2024-10-27T15:05:16Z
120030,Add calendar for Rachio smart hose timer,2024-06-20 16:02:53+00:00,2024-07-22 23:56:29+00:00,merged,8,8,29,https://github.com/home-assistant/core/pull/120030,New feature (which adds functionality to an existing integration),295,2024-07-20T14:38:51Z
119788,Add Bryant Evolution Integration,2024-06-16 19:45:16+00:00,2024-07-30 10:02:02+00:00,merged,20,151,42,https://github.com/home-assistant/core/pull/119788,New integration (thank you!),1224,2024-07-29T09:25:04Z
119737,Add work items per type and state counter sensors to Azure DevOps,2024-06-15 12:56:11+00:00,2024-08-31 15:01:45+00:00,merged,8,8,76,https://github.com/home-assistant/core/pull/119737,New feature (which adds functionality to an existing integration),260,2024-08-30T14:45:46Z
119689,Add condition to trigger template entities,2024-06-14 13:37:26+00:00,2024-09-12 08:02:34+00:00,merged,7,15,88,https://github.com/home-assistant/core/pull/119689,New feature (which adds functionality to an existing integration),314,2024-09-11T07:36:49Z
119642,Add Sensoterra integration ,2024-06-13 21:03:20+00:00,2024-09-13 13:36:55+00:00,merged,18,102,83,https://github.com/home-assistant/core/pull/119642,New integration (thank you!),601,2024-09-05T19:37:44Z
119237,Add Kermi integration,2024-06-09 20:43:06+00:00,2024-08-20 13:04:29+00:00,closed,19,26,70,https://github.com/home-assistant/core/pull/119237,New integration (thank you!),662,2024-08-19T12:07:48Z
119075,Add dreo integration fan,2024-06-07 12:29:50+00:00,2024-08-09 11:01:52+00:00,closed,8,64,60,https://github.com/home-assistant/core/pull/119075,New feature (which adds functionality to an existing integration),384,2024-08-07T09:46:41Z
118770,Add OSO Energy services,2024-06-04 06:16:05+00:00,2024-10-23 11:01:44+00:00,merged,8,19,140,https://github.com/home-assistant/core/pull/118770,New feature (which adds functionality to an existing integration),1003,2024-10-22T10:22:47Z
118757,Allow MQTT device based auto discovery,2024-06-03 21:19:09+00:00,2024-10-31 17:01:54+00:00,merged,15,45,148,https://github.com/home-assistant/core/pull/118757,New feature (which adds functionality to an existing integration),1923,2024-10-30T16:10:16Z
118675,New Integration: SMLIGHT SLZB-06 Adapters Integration,2024-06-03 05:29:41+00:00,2024-09-06 02:48:53+00:00,merged,23,124,78,https://github.com/home-assistant/core/pull/118675,New integration (thank you!),1871,2024-08-20T08:44:06Z
118661,Add select platform to myuplink,2024-06-02 20:51:11+00:00,2024-07-20 10:01:39+00:00,merged,7,15,46,https://github.com/home-assistant/core/pull/118661,New feature (which adds functionality to an existing integration),306,2024-07-19T09:29:58Z
118452,Add new coordinators to Tessie,2024-05-30 05:14:19+00:00,2024-08-28 01:12:40+00:00,merged,19,28,27,https://github.com/home-assistant/core/pull/118452,New feature (which adds functionality to an existing integration),2836,2024-06-26T12:23:07Z
