PR Number,Title,Created At,Updated At,State,Files Changed,Total Comments,Decision Time,URL,Type of Change,LOC Changed,Closed Date
45672,Ebus support,2021-01-28 21:25:17+00:00,2021-09-14 21:01:54+00:00,closed,15,5,227,https://github.com/home-assistant/core/pull/45672,New integration (thank you!),958,2021-09-13T20:05:09Z
98240,Add SpaNET integration,2023-08-11 04:15:26+00:00,2023-12-26 04:02:00+00:00,closed,14,7,135,https://github.com/home-assistant/core/pull/98240,New integration (thank you!),394,2023-12-25T03:05:21Z
93626,Add jsonlog component for dedicated JSON-formatted log file,2023-05-26 19:32:31+00:00,2023-12-11 20:56:12+00:00,closed,14,0,166,https://github.com/home-assistant/core/pull/93626,New integration (thank you!),384,2023-11-09T14:28:38Z
77249,Add inels integration,2022-08-24 09:21:58+00:00,2023-03-11 12:02:06+00:00,closed,26,14,198,https://github.com/home-assistant/core/pull/77249,New integration (thank you!),1807,2023-03-10T11:59:42Z
53401,Twcmanager integration,2021-07-23 20:32:47+00:00,2022-06-23 19:48:57+00:00,closed,13,25,334,https://github.com/home-assistant/core/pull/53401,New integration (thank you!),365,2022-06-23T19:48:56Z
47507,Add Picnic integration,2021-03-06 11:54:41+00:00,2021-04-29 05:49:15+00:00,merged,16,47,46,https://github.com/home-assistant/core/pull/47507,New integration (thank you!),1171,2021-04-22T05:21:57Z
48042,Add new Bitvavo integration,2021-03-17 19:51:16+00:00,2021-07-22 10:01:46+00:00,closed,18,46,125,https://github.com/home-assistant/core/pull/48042,New integration (thank you!),1055,2021-07-21T09:30:30Z
94618,Add SMA Manager Integration,2023-06-14 21:53:23+00:00,2024-04-29 04:01:50+00:00,closed,7,48,318,https://github.com/home-assistant/core/pull/94618,New integration (thank you!),477,2024-04-28T03:05:51Z
118012,Add duwi integration,2024-05-24 05:54:11+00:00,2024-10-29 09:02:07+00:00,closed,13,0,157,https://github.com/home-assistant/core/pull/118012,New integration (thank you!),1454,2024-10-28T08:07:33Z
111465,Add plexamp integration,2024-02-26 10:25:48+00:00,2024-05-15 10:03:00+00:00,closed,13,10,77,https://github.com/home-assistant/core/pull/111465,New integration (thank you!),1088,2024-05-14T09:06:02Z
61677,Add WalkingPad integration,2021-12-13 12:03:46+00:00,2022-03-25 04:01:58+00:00,closed,15,0,100,https://github.com/home-assistant/core/pull/61677,New integration (thank you!),929,2022-03-24T03:10:26Z
73363,Add Landis+Gyr Heat Meter integration,2022-06-11 16:47:38+00:00,2022-10-08 13:14:37+00:00,merged,15,84,67,https://github.com/home-assistant/core/pull/73363,New integration (thank you!),1011,2022-08-18T14:40:04Z
80061,Add Rainforest RAVEn integration,2022-10-11 00:56:07+00:00,2024-01-06 17:01:46+00:00,merged,24,73,451,https://github.com/home-assistant/core/pull/80061,New integration (thank you!),1431,2024-01-05T13:00:54Z
84443,Seitron integration,2022-12-22 14:15:29+00:00,2023-04-20 21:01:51+00:00,closed,17,33,118,https://github.com/home-assistant/core/pull/84443,New integration (thank you!),428,2023-04-19T20:05:26Z
53689,Add new Bitvavo integration,2021-07-29 12:23:37+00:00,2023-01-22 16:03:24+00:00,closed,17,17,541,https://github.com/home-assistant/core/pull/53689,New integration (thank you!),973,2023-01-21T15:05:23Z
101988,Add Acaia integration,2023-10-14 10:16:35+00:00,2024-01-08 20:02:08+00:00,closed,23,0,85,https://github.com/home-assistant/core/pull/101988,New integration (thank you!),682,2024-01-07T19:02:25Z
84748,Add JVC Projector integration,2022-12-29 01:28:53+00:00,2024-01-26 15:50:40+00:00,merged,21,39,127,https://github.com/home-assistant/core/pull/84748,New integration (thank you!),1030,2023-05-05T18:44:54Z
82637,Add Google Mail integration,2022-11-24 14:03:35+00:00,2023-01-26 21:01:43+00:00,merged,30,47,44,https://github.com/home-assistant/core/pull/82637,New integration (thank you!),1303,2023-01-07T19:59:15Z
80326,Add formula_one integration,2022-10-14 13:04:38+00:00,2024-05-05 19:01:42+00:00,closed,16,78,568,https://github.com/home-assistant/core/pull/80326,New integration (thank you!),1671,2024-05-04T18:05:06Z
68577,Add ZiGate device on automatic integration USB and ZEROCONF,2022-03-23 17:22:29+00:00,2022-05-10 00:05:26+00:00,merged,5,15,46,https://github.com/home-assistant/core/pull/68577,New integration (thank you!),154,2022-05-08T23:27:09Z
55812,Add HomeWizard Energy integration,2021-09-05 21:15:33+00:00,2022-01-12 18:01:58+00:00,merged,21,103,127,https://github.com/home-assistant/core/pull/55812,New integration (thank you!),1974,2022-01-11T00:23:32Z
70361,Add new integration to control Electra Smart HVAC devices,2022-04-21 08:41:13+00:00,2024-07-28 07:19:30+00:00,merged,21,7,394,https://github.com/home-assistant/core/pull/70361,New integration (thank you!),832,2023-05-20T10:13:32Z
58503,Add Goodwe solar inverter integration,2021-10-26 21:13:32+00:00,2022-01-12 21:46:54+00:00,merged,16,155,70,https://github.com/home-assistant/core/pull/58503,New integration (thank you!),725,2022-01-04T21:19:32Z
76190,Add Aqara,2022-08-04 06:43:45+00:00,2023-08-17 09:01:58+00:00,closed,31,0,377,https://github.com/home-assistant/core/pull/76190,New integration (thank you!),23132,2023-08-16T08:05:32Z
50284,Add Geocaching integration,2021-05-08 10:17:55+00:00,2022-05-30 15:06:41+00:00,merged,20,88,368,https://github.com/home-assistant/core/pull/50284,New integration (thank you!),820,2022-05-12T10:12:47Z
63671,New integration for Invoxia™ GPS Trackers,2022-01-08 11:48:40+00:00,2024-07-06 19:01:57+00:00,closed,23,59,909,https://github.com/home-assistant/core/pull/63671,New integration (thank you!),1005,2024-07-05T18:08:24Z
65352,Create new Unmanic integration,2022-02-01 05:45:37+00:00,2022-03-18 01:28:33+00:00,closed,18,15,43,https://github.com/home-assistant/core/pull/65352,New integration (thank you!),530,2022-03-17T00:14:59Z
48156,System Bridge Integration,2021-03-20 15:16:31+00:00,2021-05-07 00:01:46+00:00,merged,17,44,46,https://github.com/home-assistant/core/pull/48156,New integration (thank you!),1436,2021-05-05T23:33:32Z
100569,Add Husqvarna Automower integration,2023-09-18 21:53:18+00:00,2024-01-24 13:04:53+00:00,closed,15378,37,126,https://github.com/home-assistant/core/pull/100569,New integration (thank you!),2595489,2024-01-23T12:45:27Z
120087,Add IoTMeter integration,2024-06-21 11:26:20+00:00,2024-10-28 16:02:17+00:00,closed,15,29,128,https://github.com/home-assistant/core/pull/120087,New integration (thank you!),853,2024-10-27T15:05:16Z
56357,Add Uonet+ Vulcan integration,2021-09-17 20:54:19+00:00,2022-05-03 10:37:54+00:00,merged,19,37,193,https://github.com/home-assistant/core/pull/56357,New integration (thank you!),1921,2022-03-30T15:55:24Z
45074,Add AEMET OpenData integration,2021-01-12 08:40:43+00:00,2021-02-14 22:06:22+00:00,merged,31,106,32,https://github.com/home-assistant/core/pull/45074,New integration (thank you!),4398,2021-02-13T20:53:28Z
