PR Number,Title,Created At,Updated At,State,Files Changed,Total Comments,Decision Time,URL,Type of Change,LOC Changed,Closed Date
129299,Add LG ThinQ integration,2024-10-28 01:10:12+00:00,2024-10-29 23:01:54+00:00,merged,27,7,0,https://github.com/home-assistant/core/pull/129299,New integration (thank you!),4379,2024-10-28T16:22:25Z
128919,Add musicassistant integration,2024-10-21 17:03:11+00:00,2024-10-31 18:02:28+00:00,merged,19,167,8,https://github.com/home-assistant/core/pull/128919,New integration (thank you!),1319,2024-10-30T13:57:01Z
128918,Add musicassistant integration,2024-10-21 16:47:24+00:00,2024-10-22 17:01:47+00:00,closed,142,0,0,https://github.com/home-assistant/core/pull/128918,New integration (thank you!),5265,2024-10-21T16:50:34Z
128651,Allow SSL security_protocol configuration property in apache_kafka component,2024-10-18 10:56:24+00:00,2024-10-20 11:01:53+00:00,merged,1,0,0,https://github.com/home-assistant/core/pull/128651,New integration (thank you!),4,2024-10-19T10:05:37Z
128381,Updated CONTRIBUTING.md,2024-10-14 18:50:13+00:00,2024-10-15 20:02:01+00:00,closed,1,1,0,https://github.com/home-assistant/core/pull/128381,New integration (thank you!),6,2024-10-14T19:02:51Z
128259,Palazzetti integration,2024-10-12 18:56:12+00:00,2024-10-29 17:02:03+00:00,merged,19,112,15,https://github.com/home-assistant/core/pull/128259,New integration (thank you!),897,2024-10-28T16:19:06Z
128247,Palazzetti CBox,2024-10-12 16:12:27+00:00,2024-10-13 19:01:48+00:00,closed,16,0,0,https://github.com/home-assistant/core/pull/128247,New integration (thank you!),604,2024-10-12T18:57:23Z
127109,Add Appartme System integration,2024-09-30 13:26:37+00:00,2024-10-24 12:03:20+00:00,closed,19,0,22,https://github.com/home-assistant/core/pull/127109,New integration (thank you!),766,2024-10-23T11:52:56Z
126449,Add NYT Games integration,2024-09-22 19:02:28+00:00,2024-09-24 18:07:55+00:00,merged,22,3,0,https://github.com/home-assistant/core/pull/126449,New integration (thank you!),693,2024-09-23T15:40:19Z
126298,Add Domika integration,2024-09-20 00:07:57+00:00,2024-10-03 09:04:05+00:00,closed,46,0,12,https://github.com/home-assistant/core/pull/126298,New integration (thank you!),3313,2024-10-02T08:47:53Z
126297,Add Domika integration,2024-09-19 23:50:59+00:00,2024-09-21 01:28:35+00:00,closed,43,0,0,https://github.com/home-assistant/core/pull/126297,New integration (thank you!),3289,2024-09-19T23:59:24Z
126014,Added virtual integration for Arizona Public Service supported by opower,2024-09-15 22:30:27+00:00,2024-09-17 07:01:55+00:00,merged,3,0,0,https://github.com/home-assistant/core/pull/126014,New integration (thank you!),12,2024-09-16T06:59:47Z
126013,Add EzBEQ integration,2024-09-15 21:37:44+00:00,2024-10-05 02:25:20+00:00,closed,20,37,18,https://github.com/home-assistant/core/pull/126013,New integration (thank you!),726,2024-10-04T01:11:14Z
125644,Add Duwi integrated switch platform,2024-09-10 05:27:16+00:00,2024-09-11 08:02:09+00:00,closed,16,0,0,https://github.com/home-assistant/core/pull/125644,New integration (thank you!),1326,2024-09-10T07:44:37Z
125642,Add Cambridge Audio integration,2024-09-10 02:59:51+00:00,2024-09-11 17:01:45+00:00,merged,19,9,0,https://github.com/home-assistant/core/pull/125642,New integration (thank you!),793,2024-09-10T16:27:52Z
125489,Duke Energy Integration,2024-09-08 04:06:00+00:00,2024-09-12 12:02:38+00:00,merged,15,18,3,https://github.com/home-assistant/core/pull/125489,New integration (thank you!),612,2024-09-11T11:28:47Z
125351,Add assist satellite entity component,2024-09-05 16:36:58+00:00,2024-09-07 01:29:30+00:00,merged,22,23,0,https://github.com/home-assistant/core/pull/125351,New integration (thank you!),1192,2024-09-06T01:16:30Z
124677,Split august and yale integrations,2024-08-27 07:41:49+00:00,2024-08-29 19:01:48+00:00,merged,72,49,1,https://github.com/home-assistant/core/pull/124677,New integration (thank you!),5821,2024-08-28T15:46:03Z
124584,Add Aruba Instant On integration,2024-08-25 17:22:33+00:00,2024-11-01 22:01:56+00:00,closed,8,0,67,https://github.com/home-assistant/core/pull/124584,New integration (thank you!),115,2024-10-31T21:05:24Z
124557,Add touchlinesl integration,2024-08-25 07:43:35+00:00,2024-09-23 12:12:53+00:00,merged,16,93,2,https://github.com/home-assistant/core/pull/124557,New integration (thank you!),571,2024-08-27T11:15:32Z
124410,Add go2rtc and extend camera integration for better WebRTC support,2024-08-22 11:30:29+00:00,2024-10-04 08:02:39+00:00,merged,35,32,41,https://github.com/home-assistant/core/pull/124410,New integration (thank you!),1701,2024-10-03T07:20:03Z
124297,Add integration for Qbus,2024-08-20 12:18:37+00:00,2024-08-24 12:02:36+00:00,closed,17,0,2,https://github.com/home-assistant/core/pull/124297,New integration (thank you!),843,2024-08-23T11:27:57Z
124176,Add new integration for WMS WebControl pro using local API,2024-08-18 19:09:32+00:00,2024-09-17 15:02:02+00:00,merged,22,123,28,https://github.com/home-assistant/core/pull/124176,New integration (thank you!),1194,2024-09-16T14:07:43Z
123860,Add LG ThinQ Integration,2024-08-14 08:14:52+00:00,2024-09-02 00:31:16+00:00,merged,18,234,16,https://github.com/home-assistant/core/pull/123860,New integration (thank you!),854,2024-08-30T13:12:50Z
123491,Assist satellite entity,2024-08-09 20:24:38+00:00,2024-08-13 16:01:59+00:00,closed,23,5,2,https://github.com/home-assistant/core/pull/123491,New integration (thank you!),1230,2024-08-12T15:40:38Z
123341,Add LG ThinQ Integration,2024-08-08 08:04:52+00:00,2024-08-16 09:01:54+00:00,closed,48,15,6,https://github.com/home-assistant/core/pull/123341,New integration (thank you!),8973,2024-08-14T08:15:01Z
123057,Add weheat core integration,2024-08-02 09:29:34+00:00,2024-09-09 09:57:44+00:00,merged,21,82,35,https://github.com/home-assistant/core/pull/123057,New integration (thank you!),632,2024-09-06T09:58:02Z
122803,Add Pinecil virtual integration supported by IronOS,2024-07-29 19:52:51+00:00,2024-08-02 07:01:58+00:00,merged,3,0,1,https://github.com/home-assistant/core/pull/122803,New integration (thank you!),12,2024-07-31T19:24:15Z
