PR Number,Title,Created At,Updated At,State,Files Changed,Total Comments,Decision Time,URL,Type of Change,LOC Changed,Closed Date
80408,Create config flow for Trend helper,2022-10-16 07:11:07+00:00,2023-03-09 13:07:54+00:00,closed,9,0,142,https://github.com/home-assistant/core/pull/80408,New feature (which adds functionality to an existing integration),262,2023-03-08T06:59:17Z
74325,Scrape move yaml config to integration key,2022-07-02 10:24:41+00:00,2022-10-31 17:10:27+00:00,merged,8,33,120,https://github.com/home-assistant/core/pull/74325,New feature (which adds functionality to an existing integration),516,2022-10-30T12:02:12Z
108171,Add switch entity for Shelly scripts,2024-01-16 17:14:44+00:00,2024-10-14 14:04:55+00:00,merged,2,14,270,https://github.com/home-assistant/core/pull/108171,New feature (which adds functionality to an existing integration),105,2024-10-13T13:11:40Z
115711,Add template support for SQL query,2024-04-16 15:54:27+00:00,2024-09-28 12:03:43+00:00,closed,5,7,163,https://github.com/home-assistant/core/pull/115711,New feature (which adds functionality to an existing integration),54,2024-09-27T11:19:41Z
115326,Add entity for current room to Roborock,2024-04-10 01:26:41+00:00,2024-09-14 01:28:28+00:00,closed,8,11,155,https://github.com/home-assistant/core/pull/115326,New feature (which adds functionality to an existing integration),67,2024-09-12T23:05:43Z
83380,Add device HmIP-DLD,2022-12-06 08:43:55+00:00,2023-03-04 22:21:55+00:00,merged,7,23,82,https://github.com/home-assistant/core/pull/83380,New feature (which adds functionality to an existing integration),459,2023-02-26T17:49:26Z
97811,Add option to preserve relative brightness in light groups,2023-08-04 21:51:54+00:00,2023-11-10 23:01:50+00:00,closed,5,0,97,https://github.com/home-assistant/core/pull/97811,New feature (which adds functionality to an existing integration),257,2023-11-09T22:13:17Z
122678,Add markdown removal for TTS,2024-07-26 22:50:07+00:00,2024-10-04 16:02:07+00:00,closed,7,0,68,https://github.com/home-assistant/core/pull/122678,New feature (which adds functionality to an existing integration),102,2024-10-03T15:05:31Z
69417,Add short-hand attributes to vacuum,2022-04-06 12:52:49+00:00,2022-04-27 17:11:29+00:00,merged,1,12,20,https://github.com/home-assistant/core/pull/69417,New feature (which adds functionality to an existing integration),16,2022-04-26T16:30:21Z
123493,Add service to 17track to archive package,2024-08-09 20:35:39+00:00,2024-09-05 21:01:47+00:00,merged,8,14,25,https://github.com/home-assistant/core/pull/123493,New feature (which adds functionality to an existing integration),356,2024-09-04T19:56:12Z
96044,Add support for multiple devices linked to a Viessmann account,2023-07-06 23:50:07+00:00,2024-02-16 14:02:25+00:00,merged,12,47,223,https://github.com/home-assistant/core/pull/96044,New feature (which adds functionality to an existing integration),289,2024-02-15T12:58:00Z
