Comment Type,User,Comment,Date,Pull Request URL
Issue,home-assistant[bot],"<!-- ReviewDrafterComment -->
Please take a look at the requested changes, and use the **Ready for review** button when you are done, thanks :+1:

[_Learn more about our pull request process._](https://developers.home-assistant.io/docs/review-process#prs-are-being-drafted-when-changes-are-needed)
",2024-10-21T14:34:44Z,https://github.com/home-assistant/core/pull/126721
Review,joostlek,Can we bump this in a separate PR?,2024-10-21T14:34:00Z,https://github.com/home-assistant/core/pull/126721
Review,joostlek,Please wrap multiline lambdas in parenthesis,2024-10-21T14:34:26Z,https://github.com/home-assistant/core/pull/126721
Review,Lektrico,"I created a separate PR here:  https://github.com/home-assistant/core/pull/128979
Thank you.",2024-10-22T13:42:47Z,https://github.com/home-assistant/core/pull/126721
Review,Lektrico,"I added the parenthesis, thank you.",2024-10-23T08:26:25Z,https://github.com/home-assistant/core/pull/126721
Issue,probot-home-assistant[bot],"Hey there @home-assistant/cloud, @ochlocracy, mind taking a look at this pull request as it has been labeled with an integration (`alexa`) you are listed as a [code owner](https://github.com/home-assistant/core/blob/dev/CODEOWNERS#L36) for? Thanks!
<sub><sup>(message by CodeOwnersMention)</sup></sub>",2021-11-28T14:01:32Z,https://github.com/home-assistant/core/pull/60489
Issue,emontnemery,This change is not supported by the documentation: https://developer.amazon.com/en-US/docs/alexa/device-apis/list-of-interfaces.html,2021-11-29T13:53:06Z,https://github.com/home-assistant/core/pull/60489
Issue,RomRider,"@emontnemery but it works, I have tested it. The native Sonos integration supports those commands in French also for exemple 🤷

Without this PR, volume up/down, set, mute/unmute do not work in French and with, it does work.

If this is not getting through, because it's not in the alexa dev documentation, it would be ridiculous... Maybe it's missing there also... ",2021-12-04T08:26:00Z,https://github.com/home-assistant/core/pull/60489
Issue,frenck,Tag for beta?,2021-12-04T09:32:32Z,https://github.com/home-assistant/core/pull/60489
Issue,RomRider,Thanks @emontnemery !,2021-12-04T10:01:34Z,https://github.com/home-assistant/core/pull/60489
Issue,Quentame,@frenck I think we can add it to the beta,2021-12-06T14:20:18Z,https://github.com/home-assistant/core/pull/60489
Review,emontnemery,"```suggestion
        ""fr-FR"",  # Not documented as of 2021-12-04, see PR #60489
```",2021-12-04T08:33:49Z,https://github.com/home-assistant/core/pull/60489
