Comment Type,User,Comment,Date,Is Code Owner,Pull Request URL,Author,Author Is Code Owner,Commit SHA,Commit Message
Issue,home-assistant[bot],"<!-- ReviewDrafterComment -->
Please take a look at the requested changes, and use the **Ready for review** button when you are done, thanks :+1:

[_Learn more about our pull request process._](https://developers.home-assistant.io/docs/review-process#prs-are-being-drafted-when-changes-are-needed)
",2024-10-21T14:34:44Z,False,https://github.com/home-assistant/core/pull/126721,Lektrico,False,,
Review,joostlek,Can we bump this in a separate PR?,2024-10-21T14:34:00Z,True,https://github.com/home-assistant/core/pull/126721,Lektrico,False,,
Review,joostlek,Please wrap multiline lambdas in parenthesis,2024-10-21T14:34:26Z,True,https://github.com/home-assistant/core/pull/126721,Lektrico,False,,
Review,Lektrico,"I created a separate PR here:  https://github.com/home-assistant/core/pull/128979
Thank you.",2024-10-22T13:42:47Z,False,https://github.com/home-assistant/core/pull/126721,Lektrico,False,,
Review,Lektrico,"I added the parenthesis, thank you.",2024-10-23T08:26:25Z,False,https://github.com/home-assistant/core/pull/126721,Lektrico,False,,
,,,2024-09-24T09:37:33Z,,https://github.com/home-assistant/core/pull/126721,Lektrico,False,163f1b57f9cdea7c56f8d76d2f5711717367fb27,Add switch platform.
,,,2024-10-23T08:00:12Z,,https://github.com/home-assistant/core/pull/126721,Lektrico,False,d9e4f66241a442be38b8ea95f65e47ec903c2b2f,Wrap multiline lambdas in parenthesis.
Issue,probot-home-assistant[bot],"Hey there @home-assistant/cloud, @ochlocracy, mind taking a look at this pull request as it has been labeled with an integration (`alexa`) you are listed as a [code owner](https://github.com/home-assistant/core/blob/dev/CODEOWNERS#L36) for? Thanks!
<sub><sup>(message by CodeOwnersMention)</sup></sub>",2021-11-28T14:01:32Z,False,https://github.com/home-assistant/core/pull/60489,RomRider,False,,
Issue,emontnemery,This change is not supported by the documentation: https://developer.amazon.com/en-US/docs/alexa/device-apis/list-of-interfaces.html,2021-11-29T13:53:06Z,True,https://github.com/home-assistant/core/pull/60489,RomRider,False,,
Issue,RomRider,"@emontnemery but it works, I have tested it. The native Sonos integration supports those commands in French also for exemple 🤷

Without this PR, volume up/down, set, mute/unmute do not work in French and with, it does work.

If this is not getting through, because it's not in the alexa dev documentation, it would be ridiculous... Maybe it's missing there also... ",2021-12-04T08:26:00Z,False,https://github.com/home-assistant/core/pull/60489,RomRider,False,,
