PR Number,Title,Labels,Created At,Updated At,State,Files Changed,Total Comments,Decision Time,Type of Change,URL
129587,Add go2rtc debug_ui yaml key to enable go2rtc ui,"Hacktoberfest, cla-signed, new-feature, has-tests, Quality Scale: No score, integration: go2rtc",2024-10-31T16:15:17Z,2024-10-31T19:56:55Z,merged,5,14,0,New feature (which adds functionality to an existing integration),https://github.com/home-assistant/core/pull/129587
129501,Add Stun server with port 3478,"Hacktoberfest, core, integration: camera, cla-signed, small-pr, new-feature, has-tests, bugfix, Quality Scale: internal",2024-10-30T13:35:57Z,2024-10-31T15:01:51Z,merged,2,1,0,"Bugfix (non-breaking change which fixes an issue), New feature (which adds functionality to an existing integration)",https://github.com/home-assistant/core/pull/129501
129490,Reolink add TCP push event connection as primary method,"Hacktoberfest, cla-signed, new-feature, has-tests, by-code-owner, integration: reolink, Quality Scale: No score",2024-10-30T10:43:13Z,2024-10-31T15:01:58Z,merged,6,0,0,New feature (which adds functionality to an existing integration),https://github.com/home-assistant/core/pull/129490
129468,Add progress support to MQTT update platform,"Hacktoberfest, core, cla-signed, integration: mqtt, new-feature, has-tests, by-code-owner, Quality Scale: platinum",2024-10-29T22:10:00Z,2024-10-31T17:01:52Z,merged,3,0,0,New feature (which adds functionality to an existing integration),https://github.com/home-assistant/core/pull/129468
129439,Add sensors for energy trends for devices,"Hacktoberfest, cla-signed, new-feature, integration: sense, has-tests, by-code-owner, Quality Scale: No score",2024-10-29T16:56:27Z,2024-10-30T20:02:11Z,merged,4,7,0,New feature (which adds functionality to an existing integration),https://github.com/home-assistant/core/pull/129439
129420,Add support for vacuum cleaners to the Matter integration,"Hacktoberfest, new-platform, cla-signed, new-feature, has-tests, by-code-owner, integration: matter, Quality Scale: No score",2024-10-29T14:06:07Z,2024-10-31T15:02:02Z,merged,9,6,0,New feature (which adds functionality to an existing integration),https://github.com/home-assistant/core/pull/129420
129418,Add Smarty versions to device,"Hacktoberfest, cla-signed, small-pr, new-feature, integration: smarty, code-quality, Quality Scale: No score",2024-10-29T13:59:04Z,2024-10-30T19:01:44Z,merged,6,2,0,"New feature (which adds functionality to an existing integration), Code quality improvements to existing code or addition of tests",https://github.com/home-assistant/core/pull/129418
129369,Update nest to use the async WebRTC APIs,"Hacktoberfest, cla-signed, integration: nest, small-pr, new-feature, by-code-owner, Quality Scale: platinum",2024-10-29T05:29:31Z,2024-10-30T06:42:01Z,merged,1,0,0,New feature (which adds functionality to an existing integration),https://github.com/home-assistant/core/pull/129369
129366,Add audio output select to Cambridge Audio,"Hacktoberfest, cla-signed, new-feature, has-tests, by-code-owner, Quality Scale: No score, integration: cambridge_audio",2024-10-29T02:25:07Z,2024-10-31T15:01:54Z,merged,7,4,1,New feature (which adds functionality to an existing integration),https://github.com/home-assistant/core/pull/129366
129357,Add Smarty sensors,"cla-signed, small-pr, new-feature, integration: smarty, code-quality, Quality Scale: No score",2024-10-28T20:09:34Z,2024-10-30T12:03:50Z,closed,1,8,0,"New feature (which adds functionality to an existing integration), Code quality improvements to existing code or addition of tests",https://github.com/home-assistant/core/pull/129357
129333,Add smart standby functionality to lamarzocco,"Hacktoberfest, cla-signed, new-feature, has-tests, by-code-owner, Quality Scale: No score, integration: lamarzocco",2024-10-28T13:57:15Z,2024-10-30T13:06:58Z,merged,11,2,0,New feature (which adds functionality to an existing integration),https://github.com/home-assistant/core/pull/129333
129325,Add shuffle media controls to Bang & Olufsen,"Hacktoberfest, cla-signed, small-pr, new-feature, has-tests, by-code-owner, Quality Scale: No score, integration: bang_olufsen",2024-10-28T12:33:07Z,2024-10-29T15:02:12Z,merged,2,0,0,New feature (which adds functionality to an existing integration),https://github.com/home-assistant/core/pull/129325
129299,Add LG ThinQ integration,"Hacktoberfest, cla-signed, new-integration, integration: lg_thinq",2024-10-28T01:10:12Z,2024-10-29T23:01:54Z,merged,27,6,0,New integration (thank you!),https://github.com/home-assistant/core/pull/129299
129280,Add reconfigure flow to Sensibo,"Hacktoberfest, cla-signed, new-feature, integration: sensibo, has-tests, by-code-owner, Quality Scale: platinum",2024-10-27T19:39:54Z,2024-10-29T12:03:13Z,merged,3,0,0,New feature (which adds functionality to an existing integration),https://github.com/home-assistant/core/pull/129280
129279,Add diagnostics platform to PEGELONLINE,"Hacktoberfest, cla-signed, small-pr, new-feature, has-tests, by-code-owner, Quality Scale: No score, integration: pegel_online",2024-10-27T19:05:46Z,2024-10-29T02:25:30Z,merged,3,0,0,New feature (which adds functionality to an existing integration),https://github.com/home-assistant/core/pull/129279
129277,Add battery binary sensor to Yale Smart Alarm,"Hacktoberfest, cla-signed, new-feature, integration: yale_smart_alarm, has-tests, by-code-owner, Quality Scale: No score",2024-10-27T18:23:46Z,2024-10-28T20:01:59Z,merged,5,2,0,New feature (which adds functionality to an existing integration),https://github.com/home-assistant/core/pull/129277
129274,Add support for Lutron HWQS Proc discovery,"Hacktoberfest, cla-signed, integration: lutron_caseta, small-pr, new-feature, by-code-owner, Quality Scale: No score",2024-10-27T16:58:48Z,2024-10-30T15:05:55Z,merged,2,1,1,New feature (which adds functionality to an existing integration),https://github.com/home-assistant/core/pull/129274
129246,Allow a fixed number of ffmpeg proxy conversions per device,"Hacktoberfest, cla-signed, new-feature, integration: esphome, has-tests, Quality Scale: platinum",2024-10-26T23:02:39Z,2024-10-29T21:01:59Z,merged,2,0,1,New feature (which adds functionality to an existing integration),https://github.com/home-assistant/core/pull/129246
129221,Add and remove plants (i.e. devices) dynamically in fyta,"Hacktoberfest, cla-signed, new-feature, has-tests, by-code-owner, Quality Scale: platinum, integration: fyta",2024-10-26T11:59:12Z,2024-10-27T17:01:45Z,merged,9,0,0,New feature (which adds functionality to an existing integration),https://github.com/home-assistant/core/pull/129221
129215,Add more spotify sensors,"Hacktoberfest, cla-signed, new-feature, integration: spotify, has-tests, by-code-owner, noteworthy, Quality Scale: silver",2024-10-26T10:43:14Z,2024-10-27T13:05:09Z,merged,7,0,0,New feature (which adds functionality to an existing integration),https://github.com/home-assistant/core/pull/129215
